AA1291;EBA07;43;7.03;728
AA1292;EBA07;23;7.063;710.742
AA1293;EBA07;9;7.074;744.682
AA1294;LBA33;27;7.137;678.414
AA1296;EBA33;11;7.126;709.621
AA1297;;0;6.953;653.69
AA1298;LBA09;41;7.122;683.46
AA1299;LBC14;30;9.03;673
AA1302;LBC58;21;7.174;667.61
AA1303;LBA00;2;7.219;620.569
AA1304;LBC22;28;7.146;652.301
AA1305;LBC24;8;6.863;677.34
AA1307;LBA54;29;7.142;651.031
AA1308;EBC48;11;7.148;697.86
AA1309;EBC62;13;7.036;689.021
AA1310;;0;7.084;683
AA1311;;0;7.196;652.817
AA1312;LBC31;36;7.096;678.955
AA1316;LBC58;10;7.06;650.336
AA1317;LBA28;34;6.67;638
AA1318;LBC31;3;6.782;642.045
AA1319;LBA00;18;7.104;683.369
AA1320;LBC33;40;6.963;675
AA1322;LBA00;12;6.944;670.751
AA1325;LBA28;38;7.049;666
AA1326;LBC15;15;7.132;657.041
AA1327;LBC31;46;7.038;673.508
AA1328;;0;6.826;723.788
AA1329;LBC26;12;-1;681
AA1330;LBA05;40;-1;691
AA1331;LBC62;46;-1;651
AA1332;LBC35;7;-1;644
AA1333;;0;-1;661
AA1334;LBA05;1;-1;678
AA1335;LBA44;26;7.263;671
AA1338;LBA44;31;7.284;623
AA1340;LBA26;16;7.163;612
AA1341;LBC55;9;7.264;636
AA1342;LBC01;37;7.213;655
AA1347;EBA27;21;7.15;706
AA1348;EBA13;15;7.086;721
AA1350;EBA57;38;-1;722
AA1351;;0;7.043;681.62
AA1352;LBA47;6;7.238;665.369
AA1353;EBA33;5;6.872;699.985
AA1354;LBC34;17;7.117;690.396
AA1359;EBC30;18;6.931;719.851
AA1361;EBC33;2;7.219;697.628
AA1367;EBA07;8;6.687;741
AA1368;LBC58;9;7.111;668.667
AA1369;EBC44;38;6.986;750
AA1382;;0;6.918;758
AA1384;LBC43;29;7.15;690
AA1385;EBC64;29;6.914;716
AA1387;LBA00;6;7.054;668.227
AA1388;EBA07;1;7.098;698.818
AA1389;EBC48;22;7.008;717.349
AA1390;;0;6.639;697.219
AA1391;EBC48;21;7.002;731.368
AA1392;LBA33;16;7.307;627
AA1393;LBA00;1;7.1;675.277
AA1395;EBA49;34;6.946;720.528
AA1396;LBA00;22;6.9;679.331
AA1399;EBA07;34;7.021;737.725
AA1406;EBA07;15;6.976;708.442
AA1407;;0;6.986;660
AA1408;LBA01;24;7.163;653.776
AA1410;LBC58;41;7.123;677
AA1411;LBC51;23;-1;684
AA1412;LBA62;27;-1;659
AA1413;EBC33;14;7.212;694
AA1414;EBA07;41;7.02;712.273
AA1415;;0;7.17;668.948
AA1416;EBA07;14;7.125;696.23
AA1428;;0;6.783;724.109
AA1429;;0;7.056;660.543
AA1430;EBC52;29;6.971;698
AA1431;LBA29;4;7.039;653
AA1432;EBC06;33;-1;741
AA1433;;0;7.142;694.968
AA1434;LBC58;19;7.098;668.213
AA1435;EBC64;23;7.118;704
AA1437;;0;0;716
AA1439;LBA20;23;-1;688
AA1441;LBC55;12;7.02;650
AA1443;LBC27;5;-1;627
AA1444;LBC49;31;6.799;684.307
AA1445;LBC58;11;7.248;621
AA1446;LBC49;45;7.086;650
AA1447;LBC49;21;7.238;687
AA1449;LBC49;20;7.236;662
AA1450;LBA25;14;7.11;664
AA1451;LBC47;26;7.069;669
AA1452;LBC49;27;7.269;655
AA1453;LBC49;12;7.193;676
AA1454;EBC33;6;7.061;698
AA1455;LBA58;46;7.115;641
AA1456;LBA58;12;7.244;656
AA1457;LBC09;8;7.203;653
AA1458;LBA41;13;7.283;685
AA1459;LBC35;39;-1;615
AA1460;EBC48;7;6.862;728.054
AA1461;LBC54;23;7.093;661.324
AA1462;EBA07;33;6.989;769.848
AA1464;EBA07;21;7.105;724.223
AA1465;;0;6.859;726.019
AA1466;EBA07;10;7.016;762.749
AA1467;EBC08;22;-1;748
AA1472;LBC58;15;6.999;675
AA1473;LBC58;12;7.255;666
AA1477;EBC53;12;7.056;736
AA1479;;0;7.438;680
AA1480;;0;7.454;606
AA1481;;0;7.468;629
AA1482;LBC55;13;7.224;685
AA1483;;0;7.357;643
AA1484;LBC58;45;7.328;644
AA1486;LBC21;21;7.31;663
AA1487;;0;7.242;688
AA1488;;0;7.343;671
AA1489;LBA53;19;7.33;627
AA1490;EBC33;3;7.345;697
AA1491;LBC00;11;7.479;637
AA1493;EBC33;22;7.127;735
AA1494;LBC33;20;7.25;665
AA1499;EBC49;12;7.123;725
AA1500;LBC31;38;7.309;604
AA1502;LBC31;9;7.066;655
AA1503;LBC02;16;7.362;640
AA1504;LBA09;4;7.278;645
AA1508;LBC21;13;7.162;675
AA1510;LBC09;7;7.07;671
AA1511;LBA49;18;6.937;693
AA1513;EBA48;14;6.99;692.1
AA1516;LBC15;38;7.335;619
AA1517;;0;7.37;591
AA1519;LBC40;18;6.952;650
AA1520;LBC40;45;7.298;643
AA1521;LBA01;21;7.307;626
AA1522;LBA19;43;7.188;673
AA1524;LBC58;14;7.119;652
AA1527;EBC61;44;-1;712
AA1528;EBA47;30;6.93;723.8
AA1532;EBC33;18;6.849;691
AA1533;EBC33;16;6.87;714
AA1534;LBA03;19;7.095;639
AA1536;LBA25;1;7.187;650
AA1537;EBC62;34;7.124;701
AA1538;LBC58;1;6.918;654
AA1539;LBC47;15;7.193;663
AA1541;LBA34;40;7.265;670
AA1544;EBC33;30;7.021;703
AA1545;LBA12;14;7.211;684
AA1547;LBC58;13;7.066;686
AA1548;LBC44;15;6.975;677
AA1549;LBA27;21;7.287;619
AA1550;LBC47;1;7.18;643
AA1551;LBA53;40;6.875;684
AA1552;LBC01;9;7.25;656
AA1554;LBA58;35;7.173;666
AA1555;LBC25;26;7.183;657
AA1557;LBC28;28;7.41;623
AA1560;LBA21;47;7.261;643
AA1561;EBC49;24;7.168;740
AA1562;EBC33;37;7.031;741
AA1571;;0;7.175;639
AA1572;LBC11;3;6.92;675
AA1574;LBC14;13;6.99;687
AA1575;LBC01;25;6.94;666.9
AA1576;EBC46;9;6.967;716
AA1578;LBA26;10;7.145;668
AA1580;LBA34;17;6.795;674
AA1581;LBC40;23;7.065;662
AA1582;EBA14;33;-1;713
AA1583;EBC33;44;6.82;689
AA1585;EBA56;38;6.951;704
AA1600;LBA43;48;7.365;635
AA1603;LBC50;21;7.171;621
AA1604;LBA56;43;7.169;645
AA1605;LBC18;25;6.839;612
AA1606;EBA06;8;6.918;701
AA1608;LBA51;22;-1;688
AA1611;LBA51;12;-1;676
AA1628;LBA25;4;7.039;690
AA1630;LBC06;46;7.161;673
AA1632;LBA27;40;6.964;679
AA1633;EBA62;7;7.052;728
AA1641;EBC33;42;7.009;740
AA1645;EBC10;22;-1;716
AA1652;EBA61;38;6.77;750
AA1653;LBC09;3;7.062;679
AA1654;LBA62;7;-1;674
AA1655;LBC25;14;7.006;661
AA1656;LBA25;26;7.192;658
AA1659;LBA56;15;8.085;658
AA1660;LBC11;38;7.214;633
AA1661;LBC25;27;7.041;645
AA1665;LBA58;4;6.701;686
AA1668;;0;7.219;660
AA1671;LBA53;48;7.081;637
AA1672;LBC40;40;7.266;660
AA1673;LBA31;37;6.94;659.5
AA1680;LBA58;42;6.716;659
AA1684;EBC33;10;6.896;687
AA1685;LBC09;14;7.088;659
AA1686;LBC58;8;6.9;671
AA1687;LBA36;47;7.16;667
AA1696;LBC25;43;7;686.5
AA1702;EBC33;41;7.186;686
AA1703;LBA58;6;6.98;633.7
AA1705;;0;7.095;632
AA1706;LBC34;28;7.101;614
AA1707;LBC31;5;7.01;641.9
AA1709;LBC12;43;7.22;656
AA1710;;0;7.223;665
AA1713;LBC55;14;7.306;667
AA1715;LBA45;17;7.063;672
AA1716;LBC11;10;7.219;660
AA1717;LBC40;14;7.01;642
AA1718;LBC63;11;7.2;648
AA1719;EBC33;11;6.792;708
AA1720;LBA45;30;7.041;669
AA1721;LBA01;41;7.05;691
AA1723;LBC62;36;-1;678
AA1724;LBA64;11;-1;604
AA1725;EBC25;37;6.99;707.7
AA1728;LBA49;14;7.01;658
AA1730;LBA19;19;-1;639
AA1731;LBC06;6;7.035;638
AA1732;LBC51;5;-1;600
AA1734;LBA51;21;-1;625
AA1736;LBC12;27;7.071;686
AA1738;LBA31;23;6.97;677.9
AA1739;EBC33;7;6.97;687
AA1740;LBA09;13;7.151;646
AA1741;LBA01;12;6.94;678.7
AA1742;LBA58;27;7.173;660
AA1745;LBA46;19;-1;619
AA1746;EBA47;34;6.76;694.8
AA1753;EBA10;5;6.83;692.2
AA1754;LBA33;46;6.95;687.7
AA1755;LBC47;40;7.132;657
AA1756;EBA47;23;7;696.6
AA1757;EBA48;13;6.93;692.3
AA1759;EBA47;29;6.99;710.3
AA1760;EBA47;9;6.94;693.5
AA1762;EBC49;11;7.088;707
AA1765;LBA31;16;6.96;617.7
AA1766;LBA31;34;6.94;655.5
AA1767;EBA10;12;6.93;721.3
AA1768;EBC49;7;7.073;683
AA1769;EBC49;5;7.132;699
AA1772;LBA40;48;7.01;625.1
AA1773;EBA56;3;6.841;727
AA1774;LBC51;15;7.099;650
AA1775;LBA06;28;7.183;639
AA1783;EBC49;23;7.009;756
AA1787;EBC49;30;7.092;751
AA1788;LBA58;43;6.995;666
AA1790;LBA31;45;7.01;657.5
AA1792;LBA40;35;7.151;662
