9.850 
9.510 
9.610 
9.790 
9.510 
9.820 
9.780 
9.800 
9.740 
9.880 
9.610 
9.460 
9.750 
9.640 
9.710 
9.820 
10.000 
9.230 
10.000 
9.730 
9.820 
9.640 
9.710 
9.660 
9.790 
9.570 
9.780 
9.880 
10.040 
9.770 
9.730 
9.700 
9.740 
9.640 
9.650 
9.710 
9.570 
10.000 
9.910 
9.780 
10.100 
9.640 
9.790 
9.660 
9.760 
9.730 
9.670 
9.580 
9.830 
9.790 
9.750 
9.650 
9.880 
9.730 
9.750 
9.780 
9.790 
9.600 
9.610 
9.670 
10.010 
9.740 
9.800 
9.540 
2019.11.07 14:27:36.811, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:27:41.846, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:27:46.885, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:27:51.922, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:27:56.954, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:28:01.986, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:28:07.020, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:28:12.054, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:28:17.086, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:28:22.116, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:28:27.149, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:28:32.183, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:28:37.217, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:28:42.259, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:28:47.301, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:28:52.332, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:28:57.365, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:29:02.398, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:29:07.427, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:29:12.457, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:29:17.486, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:29:22.519, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:29:27.550, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:29:32.591, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:29:37.630, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:29:42.665, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:29:47.760, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:29:52.861, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:29:57.895, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:30:02.927, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
